Index	Name	CPU Start Time (ns)	CPU Duration (ns)	GPU Execution Start Time (ns)	EOP Start Time (ns)	EOP to EOP Duration (ns)	Core	CPU Execution Time (ns)	API Queue	Process	Thread	CPU End Time (ns)	Hardware Queue	TOP to EOP Duration (ns)	GPU Execution End Time (ns)
14841	VSync	636571200					Scheduler			0	Idle (0)	636571200			
14766	VSync	619931900					Scheduler			0	Idle (0)	619931900			
14618	VSync	603251000					Scheduler			0	Idle (0)	603251000			
14614	SetEventOnCompletion fence#4 (Value=103)	602410500					2			12848	SqueezeNetObjectDetectionCPP.exe (4384)	602410500			
14610	Signal fence#4 (Value=103)	602363300		635061600	635061600	8700	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602363300	3D	8700	635070300
14606	ExecuteCommandList_Begin	602312200		602638144	602638728	0	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602312200	3D	584	602638728
14608	ExecuteCommandList_End	602312200		634893418	634894252	83	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602312200	3D	917	634894335
14604	Dispatch	602248000		634893168	634839335	54667	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602248000	3D	834	634894002
14603	ResourceBarrier	602245000		634838752	634836752	2583	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602245000	3D	583	634839335
14602	ResourceBarrier	602244100		634836002	634833919	2750	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602244100	3D	667	634836669
14601	Dispatch	602240800		634832919	634767503	66416	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602240800	3D	1000	634833919
14599	DmlConvolutionSmallGemm	602239200	5300	634766919	634767419	69333	2	5300	Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602244500	3D	69833	634836752
14598	ResourceBarrier	602236600		634766753	634764836	2583	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602236600	3D	666	634767419
14597	ResourceBarrier	602235500		634764086	634761919	2750	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602235500	3D	583	634764669
14596	Dispatch	602231700		634761086	634698086	63833	2		Graphics API Queue (2)	12848	SqueezeNetObjectDetectionCPP.exe (4384)	602231700	3D	833	634761919
